"File","Line","SecretType","Severity","MatchedValue","FullLine"
"C:\Users\ckusam\Downloads\secrets-scanning-main (6)\secrets-scanning-main\Jira.csv","12","Generic Password Assignment","Medium","password: <password>AllTheBestInFindingInCommentsSecret@34</password>,,,,In","Password: Tester1234"",,Chandrahas Reddy Kusam,633688442eaaa5dcfa1567a4,,,,,,,,,30/Apr/26 4:51 PM;a17284f9-2478-4ed3-b14f-03476ec56fe1;Untitled-1.md;https://kusamchandra.atlassian.net/rest/api/3/attachment/content/10000,,,0|hzzzzz:,SCRUM Sprint 0,,,,,,05/May/26 8:01 PM;633688442eaaa5dcfa1567a4;Use this as password: <password>AllTheBestInFindingInCommentsSecret@34</password>,,,,In Progress,05/May/26 8:00 PM"
"C:\Users\ckusam\Downloads\secrets-scanning-main (6)\secrets-scanning-main\Jira.csv","12","Generic Password Assignment","Medium","Password: Tester1234"",,Chandrahas","Password: Tester1234"",,Chandrahas Reddy Kusam,633688442eaaa5dcfa1567a4,,,,,,,,,30/Apr/26 4:51 PM;a17284f9-2478-4ed3-b14f-03476ec56fe1;Untitled-1.md;https://kusamchandra.atlassian.net/rest/api/3/attachment/content/10000,,,0|hzzzzz:,SCRUM Sprint 0,,,,,,05/May/26 8:01 PM;633688442eaaa5dcfa1567a4;Use this as password: <password>AllTheBestInFindingInCommentsSecret@34</password>,,,,In Progress,05/May/26 8:00 PM"
"C:\Users\ckusam\Downloads\secrets-scanning-main (6)\secrets-scanning-main\Jira.html","612","Generic Password Assignment","Medium","Password: Tester1234","Password: Tester1234"
"C:\Users\ckusam\Downloads\secrets-scanning-main (6)\secrets-scanning-main\Jira.html","678","AWS Secret Key","High","89b6f6a8ff4df4e1d5f3219851734833a78420ec","Generated at Mon May 11 16:48:53 UTC 2026 by Chandrahas Reddy Kusam using Jira 1001.0.0-SNAPSHOT#100291-rev:89b6f6a8ff4df4e1d5f3219851734833a78420ec."
"C:\Users\ckusam\Downloads\secrets-scanning-main (6)\secrets-scanning-main\Jira.xml","2","AWS Secret Key","High","3639528be2848fa84a5613fe3ad0b7f02b359607","RSS generated by JIRA (1001.0.0-SNAPSHOT#100291-rev:3639528be2848fa84a5613fe3ad0b7f02b359607) at Thu May 14 12:02:54 UTC 2026"
"C:\Users\ckusam\Downloads\secrets-scanning-main (6)\secrets-scanning-main\secrets.json","10","Google API Key","High","AIzaSyA-ExampleGoogleAPIKey123456","""googleApiKey"": ""AIzaSyA-ExampleGoogleAPIKey123456"","
"C:\Users\ckusam\Downloads\secrets-scanning-main (6)\secrets-scanning-main\secrets.json","11","Stripe Secret Key","High","sk_test_51ExampleSecretKey123456789","""stripeSecretKey"": ""sk_test_51ExampleSecretKey123456789"","
"C:\Users\ckusam\Downloads\secrets-scanning-main (6)\secrets-scanning-main\secrets.json","17","Base64 Credential","Medium","dXNlcjpwYXNzd29yZA==","""basicAuth"": ""dXNlcjpwYXNzd29yZA=="","
"C:\Users\ckusam\Downloads\secrets-scanning-main (6)\secrets-scanning-main\secrets.json","18","JWT/Bearer Token","Medium","Bearer eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.samplepayload.signature","""bearerToken"": ""Bearer eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.samplepayload.signature"","
"C:\Users\ckusam\Downloads\secrets-scanning-main (6)\secrets-scanning-main\secrets.json","23","AWS Access Key","High","AKIAIOSFODNN7EXAMPLE","""awsAccessKeyId"": ""AKIAIOSFODNN7EXAMPLE"","
"C:\Users\ckusam\Downloads\secrets-scanning-main (6)\secrets-scanning-main\secrets.json","24","AWS Secret Key","High","wJalrXUtnFEMI/K7MDENG/bPxRfiCYEXAMPLEKEY","""awsSecretAccessKey"": ""wJalrXUtnFEMI/K7MDENG/bPxRfiCYEXAMPLEKEY"","
"C:\Users\ckusam\Downloads\secrets-scanning-main (6)\secrets-scanning-main\secrets.json","26","Private Key Header","Critical","-----BEGIN PRIVATE KEY-----","""gcpServiceAccountKey"": ""{ \""type\"": \""service_account\"", \""private_key\"": \""-----BEGIN PRIVATE KEY-----ExampleKey-----END PRIVATE KEY-----\"" }"""
"C:\Users\ckusam\Downloads\secrets-scanning-main (6)\secrets-scanning-main\secrets.json","29","GitHub Token","High","ghp_abcdefghijklmnopqrstuvwxyz123456","""githubToken"": ""ghp_abcdefghijklmnopqrstuvwxyz123456"","
"C:\Users\ckusam\Downloads\secrets-scanning-main (6)\secrets-scanning-main\secrets.json","30","Slack Bot Token","High","xoxb-123456789012-abcdefghijklmnopqrstuvwx","""slackBotToken"": ""xoxb-123456789012-abcdefghijklmnopqrstuvwx"","
"C:\Users\ckusam\Downloads\secrets-scanning-main (6)\secrets-scanning-main\secrets.json","31","Slack Webhook","High","https://hooks.slack.com/services/T00000000/B00000000/XXXXXXXXXXXXXXXXXXXXXXXX","""slackWebhook"": ""https://hooks.slack.com/services/T00000000/B00000000/XXXXXXXXXXXXXXXXXXXXXXXX"","
"C:\Users\ckusam\Downloads\secrets-scanning-main (6)\secrets-scanning-main\secrets.json","35","Connection String With Creds","High","mysql://admin:Admin@1234!@","""mysql"": ""mysql://admin:Admin@1234!@localhost:3306/sampledb"","
"C:\Users\ckusam\Downloads\secrets-scanning-main (6)\secrets-scanning-main\secrets.json","36","Connection String With Creds","High","postgresql://admin:Admin@1234!@","""postgres"": ""postgresql://admin:Admin@1234!@localhost:5432/sampledb"","
"C:\Users\ckusam\Downloads\secrets-scanning-main (6)\secrets-scanning-main\secrets.json","37","Connection String With Creds","High","mongodb://admin:Admin@1234!@","""mongodb"": ""mongodb://admin:Admin@1234!@localhost:27017/sampledb"""
"C:\Users\ckusam\Downloads\secrets-scanning-main (6)\secrets-scanning-main\secrets.json","39","Private Key Header","Critical","-----BEGIN RSA PRIVATE KEY-----","""privateKey"": ""-----BEGIN RSA PRIVATE KEY-----\nMIIEpAIBAAKCAQEAexamplefakekeydata1234567890\n-----END RSA PRIVATE KEY-----"","
"C:\Users\ckusam\Downloads\secrets-scanning-main (6)\secrets-scanning-main\secrets.json","58","Connection String With Creds","High","ftp://user:ftpPass@123@","""ftpCredentials"": ""ftp://user:ftpPass@123@ftp.example.com"","
"C:\Users\ckusam\Downloads\secrets-scanning-main (6)\secrets-scanning-main\secrets.json","59","Private Key Header","Critical","-----BEGIN OPENSSH PRIVATE KEY-----","""sshPrivateKeySnippet"": ""-----BEGIN OPENSSH PRIVATE KEY-----ExampleKey-----END OPENSSH PRIVATE KEY-----"","
"C:\Users\ckusam\Downloads\secrets-scanning-main (6)\secrets-scanning-main\secrets.json","63","Generic Password Assignment","Medium","password=Hidden@123","""commentsLikeFields"": ""#password=Hidden@123 (simulating comment-based secret)"""
"C:\Users\ckusam\Downloads\secrets-scanning-main (6)\secrets-scanning-main\secrr.sql","12","Connection String With Creds","High","jdbc:mysql://localhost:3306/sampledb?user=admin&password=Admin@","-- jdbc:mysql://localhost:3306/sampledb?user=admin&password=Admin@1234!"
"C:\Users\ckusam\Downloads\secrets-scanning-main (6)\secrets-scanning-main\secrr.sql","12","Generic Password Assignment","Medium","password=Admin@1234!","-- jdbc:mysql://localhost:3306/sampledb?user=admin&password=Admin@1234!"
"C:\Users\ckusam\Downloads\secrets-scanning-main (6)\secrets-scanning-main\secrr.sql","19","Stripe Secret Key","High","sk_live_4eC39HqLyjWDarjtT1zdp7dc","INSERT INTO app_config (config_key, config_value) VALUES ('stripe_secret', 'sk_live_4eC39HqLyjWDarjtT1zdp7dc');"
"C:\Users\ckusam\Downloads\secrets-scanning-main (6)\secrets-scanning-main\secrr.sql","25","AWS Access Key","High","AKIAIOSFODNN7EXAMPLE","'AKIAIOSFODNN7EXAMPLE',"
"C:\Users\ckusam\Downloads\secrets-scanning-main (6)\secrets-scanning-main\secrr.sql","26","AWS Secret Key","High","wJalrXUtnFEMI/K7MDENG/bPxRfiCYEXAMPLEKEY","'wJalrXUtnFEMI/K7MDENG/bPxRfiCYEXAMPLEKEY'"
"C:\Users\ckusam\Downloads\secrets-scanning-main (6)\secrets-scanning-main\secrr.sql","44","Base64 Credential","Medium","dXNlcjpwYXNzd29yZA==","'dXNlcjpwYXNzd29yZA=='"
"C:\Users\ckusam\Downloads\secrets-scanning-main (6)\secrets-scanning-main\secrr.sql","54","Connection String With Creds","High","mongodb://admin:Admin@1234!@","-- mongodb://admin:Admin@1234!@localhost:27017/sampledb"
"C:\Users\ckusam\Downloads\secrets-scanning-main (6)\secrets-scanning-main\secrr.sql","59","Connection String With Creds","High","ftp://user:ftpPass@123@","'ftp://user:ftpPass@123@ftp.example.com'"
"C:\Users\ckusam\Downloads\secrets-scanning-main (6)\secrets-scanning-main\secrr.sql","65","Private Key Header","Critical","-----BEGIN RSA PRIVATE KEY-----","'-----BEGIN RSA PRIVATE KEY-----"
"C:\Users\ckusam\Downloads\secrets-scanning-main (6)\secrets-scanning-main\secrr.sql","80","Generic Password Assignment","Medium","password=Admin@5678!'","'Connecting with password=Admin@5678!'"
"C:\Users\ckusam\Downloads\secrets-scanning-main (6)\secrets-scanning-main\secrr.sql","86","Slack Webhook","High","https://hooks.slack.com/services/T00000000/B00000000/XXXXXXXXXXXXXXXXXXXXXXXX","'https://hooks.slack.com/services/T00000000/B00000000/XXXXXXXXXXXXXXXXXXXXXXXX'"
"C:\Users\ckusam\Downloads\secrets-scanning-main (6)\secrets-scanning-main\secrr.sql","92","GitHub Token","High","ghp_abcdefghijklmnopqrstuvwxyz123456","'ghp_abcdefghijklmnopqrstuvwxyz123456'"
"C:\Users\ckusam\Downloads\secrets-scanning-main (6)\secrets-scanning-main\test.cls","5","Generic Password Assignment","Medium","PASSWORD = 'P@ssw0rd123!'","private static final String DB_PASSWORD = 'P@ssw0rd123!';"
"C:\Users\ckusam\Downloads\secrets-scanning-main (6)\secrets-scanning-main\test.cls","6","Generic Password Assignment","Medium","API_KEY = 'sk_test_51H8fOeExampleKey123456'","private static final String API_KEY = 'sk_test_51H8fOeExampleKey123456';"
"C:\Users\ckusam\Downloads\secrets-scanning-main (6)\secrets-scanning-main\test.cls","6","Stripe Secret Key","High","sk_test_51H8fOeExampleKey123456","private static final String API_KEY = 'sk_test_51H8fOeExampleKey123456';"
"C:\Users\ckusam\Downloads\secrets-scanning-main (6)\secrets-scanning-main\test.cls","13","Connection String With Creds","High","jdbc:mysql://localhost:3306/salesforce?user=admin_user&password=P@","String connectionString = 'jdbc:mysql://localhost:3306/salesforce?user=admin_user&password=P@ssw0rd123!';"
"C:\Users\ckusam\Downloads\secrets-scanning-main (6)\secrets-scanning-main\test.cls","13","Generic Password Assignment","Medium","password=P@ssw0rd123!'","String connectionString = 'jdbc:mysql://localhost:3306/salesforce?user=admin_user&password=P@ssw0rd123!';"
"C:\Users\ckusam\Downloads\secrets-scanning-main (6)\secrets-scanning-main\test.cls","16","JWT/Bearer Token","Medium","Bearer eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.randomPayload.signature","String authHeader = 'Bearer eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.randomPayload.signature';"
"C:\Users\ckusam\Downloads\secrets-scanning-main (6)\secrets-scanning-main\test.cls","19","AWS Access Key","High","AKIAIOSFODNN7EXAMPLE","String awsAccessKey = 'AKIAIOSFODNN7EXAMPLE';"
"C:\Users\ckusam\Downloads\secrets-scanning-main (6)\secrets-scanning-main\test.cls","20","AWS Secret Key","High","wJalrXUtnFEMI/K7MDENG/bPxRfiCYEXAMPLEKEY","String awsSecretKey = 'wJalrXUtnFEMI/K7MDENG/bPxRfiCYEXAMPLEKEY';"
"C:\Users\ckusam\Downloads\secrets-scanning-main (6)\secrets-scanning-main\test.java","12","Generic Password Assignment","Medium","PASSWORD = ""Root@12345""","private static final String PASSWORD = ""Root@12345"";"
"C:\Users\ckusam\Downloads\secrets-scanning-main (6)\secrets-scanning-main\test.java","15","Stripe Secret Key","High","sk_live_4eC39HqLyjWDarjtT1zdp7dc","private static final String STRIPE_SECRET_KEY = ""sk_live_4eC39HqLyjWDarjtT1zdp7dc"";"
"C:\Users\ckusam\Downloads\secrets-scanning-main (6)\secrets-scanning-main\test.java","16","Generic Password Assignment","Medium","TOKEN = ""ghp_1234567890abcdefghijklmnopqrstuvwxyz""","private static final String GITHUB_TOKEN = ""ghp_1234567890abcdefghijklmnopqrstuvwxyz"";"
"C:\Users\ckusam\Downloads\secrets-scanning-main (6)\secrets-scanning-main\test.java","16","GitHub Token","High","ghp_1234567890abcdefghijklmnopqrstuvwxyz","private static final String GITHUB_TOKEN = ""ghp_1234567890abcdefghijklmnopqrstuvwxyz"";"
"C:\Users\ckusam\Downloads\secrets-scanning-main (6)\secrets-scanning-main\test.java","28","Base64 Credential","Medium","dXNlcjpwYXNzd29yZA==","String authHeader = ""Authorization: Basic dXNlcjpwYXNzd29yZA=="";"
"C:\Users\ckusam\Downloads\secrets-scanning-main (6)\secrets-scanning-main\test.java","34","Generic Password Assignment","Medium","Token = ""xoxb-123456789012-abcdefghijklmnopqrstuvwx""","String slackToken = ""xoxb-123456789012-abcdefghijklmnopqrstuvwx"";"
"C:\Users\ckusam\Downloads\secrets-scanning-main (6)\secrets-scanning-main\test.java","34","Slack Bot Token","High","xoxb-123456789012-abcdefghijklmnopqrstuvwx","String slackToken = ""xoxb-123456789012-abcdefghijklmnopqrstuvwx"";"
"C:\Users\ckusam\Downloads\secrets-scanning-main (6)\secrets-scanning-main\test.sh","7","Generic Password Assignment","Medium","PASSWORD=""Admin@1234!""","DB_PASSWORD=""Admin@1234!"""
"C:\Users\ckusam\Downloads\secrets-scanning-main (6)\secrets-scanning-main\test.sh","9","Generic Password Assignment","Medium","PASSWORD = ""DATABASE_Password1@3""","DB_PASSWORD = ""DATABASE_Password1@3"""
"C:\Users\ckusam\Downloads\secrets-scanning-main (6)\secrets-scanning-main\test.sh","11","Generic Password Assignment","Medium","API_KEY=""AIzaSyA-ExampleGoogleAPIKey123456""","API_KEY=""AIzaSyA-ExampleGoogleAPIKey123456"""
"C:\Users\ckusam\Downloads\secrets-scanning-main (6)\secrets-scanning-main\test.sh","11","Google API Key","High","AIzaSyA-ExampleGoogleAPIKey123456","API_KEY=""AIzaSyA-ExampleGoogleAPIKey123456"""
"C:\Users\ckusam\Downloads\secrets-scanning-main (6)\secrets-scanning-main\test.sh","14","AWS Access Key","High","AKIAIOSFODNN7EXAMPLE","AWS_ACCESS_KEY_ID=""AKIAIOSFODNN7EXAMPLE"""
"C:\Users\ckusam\Downloads\secrets-scanning-main (6)\secrets-scanning-main\test.sh","15","AWS Secret Key","High","wJalrXUtnFEMI/K7MDENG/bPxRfiCYEXAMPLEKEY","AWS_SECRET_ACCESS_KEY=""wJalrXUtnFEMI/K7MDENG/bPxRfiCYEXAMPLEKEY"""
"C:\Users\ckusam\Downloads\secrets-scanning-main (6)\secrets-scanning-main\test.sh","18","Connection String With Creds","High","postgresql://admin:Admin@1234!@","DB_CONN=""postgresql://admin:Admin@1234!@localhost:5432/sampledb"""
"C:\Users\ckusam\Downloads\secrets-scanning-main (6)\secrets-scanning-main\test.sh","21","Generic Password Assignment","Medium","TOKEN=""eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.samplepayload.signature""","JWT_TOKEN=""eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.samplepayload.signature"""
