"File","Line","SecretType","Severity","MatchedValue","FullLine"
"C:\Users\ckusam\Downloads\secrets-scanning-main (6)\secrets-scanning-main\secrets.json","10","Google API Key","High","AIzaSyA-ExampleGoogleAPIKey123456","""googleApiKey"": ""AIzaSyA-ExampleGoogleAPIKey123456"","
"C:\Users\ckusam\Downloads\secrets-scanning-main (6)\secrets-scanning-main\secrets.json","11","Stripe Secret Key","High","sk_test_51ExampleSecretKey123456789","""stripeSecretKey"": ""sk_test_51ExampleSecretKey123456789"","
"C:\Users\ckusam\Downloads\secrets-scanning-main (6)\secrets-scanning-main\secrets.json","23","AWS Access Key","High","AKIAIOSFODNN7EXAMPLE","""awsAccessKeyId"": ""AKIAIOSFODNN7EXAMPLE"","
"C:\Users\ckusam\Downloads\secrets-scanning-main (6)\secrets-scanning-main\secrets.json","26","Private Key Header","Critical","-----BEGIN PRIVATE KEY-----","""gcpServiceAccountKey"": ""{ \""type\"": \""service_account\"", \""private_key\"": \""-----BEGIN PRIVATE KEY-----ExampleKey-----END PRIVATE KEY-----\"" }"""
"C:\Users\ckusam\Downloads\secrets-scanning-main (6)\secrets-scanning-main\secrets.json","29","GitHub Token","High","ghp_abcdefghijklmnopqrstuvwxyz123456","""githubToken"": ""ghp_abcdefghijklmnopqrstuvwxyz123456"","
"C:\Users\ckusam\Downloads\secrets-scanning-main (6)\secrets-scanning-main\secrets.json","30","Slack Bot Token","High","xoxb-123456789012-abcdefghijklmnopqrstuvwx","""slackBotToken"": ""xoxb-123456789012-abcdefghijklmnopqrstuvwx"","
"C:\Users\ckusam\Downloads\secrets-scanning-main (6)\secrets-scanning-main\secrets.json","31","Slack Webhook","High","https://hooks.slack.com/services/T00000000/B00000000/XXXXXXXXXXXXXXXXXXXXXXXX","""slackWebhook"": ""https://hooks.slack.com/services/T00000000/B00000000/XXXXXXXXXXXXXXXXXXXXXXXX"","
"C:\Users\ckusam\Downloads\secrets-scanning-main (6)\secrets-scanning-main\secrets.json","35","Connection String With Creds","High","mysql://admin:Admin@1234!@","""mysql"": ""mysql://admin:Admin@1234!@localhost:3306/sampledb"","
"C:\Users\ckusam\Downloads\secrets-scanning-main (6)\secrets-scanning-main\secrets.json","36","Connection String With Creds","High","postgresql://admin:Admin@1234!@","""postgres"": ""postgresql://admin:Admin@1234!@localhost:5432/sampledb"","
"C:\Users\ckusam\Downloads\secrets-scanning-main (6)\secrets-scanning-main\secrets.json","37","Connection String With Creds","High","mongodb://admin:Admin@1234!@","""mongodb"": ""mongodb://admin:Admin@1234!@localhost:27017/sampledb"""
"C:\Users\ckusam\Downloads\secrets-scanning-main (6)\secrets-scanning-main\secrets.json","39","Private Key Header","Critical","-----BEGIN RSA PRIVATE KEY-----","""privateKey"": ""-----BEGIN RSA PRIVATE KEY-----\nMIIEpAIBAAKCAQEAexamplefakekeydata1234567890\n-----END RSA PRIVATE KEY-----"","
"C:\Users\ckusam\Downloads\secrets-scanning-main (6)\secrets-scanning-main\secrets.json","58","Connection String With Creds","High","ftp://user:ftpPass@123@","""ftpCredentials"": ""ftp://user:ftpPass@123@ftp.example.com"","
"C:\Users\ckusam\Downloads\secrets-scanning-main (6)\secrets-scanning-main\secrets.json","59","Private Key Header","Critical","-----BEGIN OPENSSH PRIVATE KEY-----","""sshPrivateKeySnippet"": ""-----BEGIN OPENSSH PRIVATE KEY-----ExampleKey-----END OPENSSH PRIVATE KEY-----"","
"C:\Users\ckusam\Downloads\secrets-scanning-main (6)\secrets-scanning-main\secrr.sql","12","Connection String With Creds","High","jdbc:mysql://localhost:3306/sampledb?user=admin&password=Admin@","-- jdbc:mysql://localhost:3306/sampledb?user=admin&password=Admin@1234!"
"C:\Users\ckusam\Downloads\secrets-scanning-main (6)\secrets-scanning-main\secrr.sql","19","Stripe Secret Key","High","sk_live_4eC39HqLyjWDarjtT1zdp7dc","INSERT INTO app_config (config_key, config_value) VALUES ('stripe_secret', 'sk_live_4eC39HqLyjWDarjtT1zdp7dc');"
"C:\Users\ckusam\Downloads\secrets-scanning-main (6)\secrets-scanning-main\secrr.sql","25","AWS Access Key","High","AKIAIOSFODNN7EXAMPLE","'AKIAIOSFODNN7EXAMPLE',"
"C:\Users\ckusam\Downloads\secrets-scanning-main (6)\secrets-scanning-main\secrr.sql","54","Connection String With Creds","High","mongodb://admin:Admin@1234!@","-- mongodb://admin:Admin@1234!@localhost:27017/sampledb"
"C:\Users\ckusam\Downloads\secrets-scanning-main (6)\secrets-scanning-main\secrr.sql","59","Connection String With Creds","High","ftp://user:ftpPass@123@","'ftp://user:ftpPass@123@ftp.example.com'"
"C:\Users\ckusam\Downloads\secrets-scanning-main (6)\secrets-scanning-main\secrr.sql","65","Private Key Header","Critical","-----BEGIN RSA PRIVATE KEY-----","'-----BEGIN RSA PRIVATE KEY-----"
"C:\Users\ckusam\Downloads\secrets-scanning-main (6)\secrets-scanning-main\secrr.sql","86","Slack Webhook","High","https://hooks.slack.com/services/T00000000/B00000000/XXXXXXXXXXXXXXXXXXXXXXXX","'https://hooks.slack.com/services/T00000000/B00000000/XXXXXXXXXXXXXXXXXXXXXXXX'"
"C:\Users\ckusam\Downloads\secrets-scanning-main (6)\secrets-scanning-main\secrr.sql","92","GitHub Token","High","ghp_abcdefghijklmnopqrstuvwxyz123456","'ghp_abcdefghijklmnopqrstuvwxyz123456'"
"C:\Users\ckusam\Downloads\secrets-scanning-main (6)\secrets-scanning-main\test.cls","13","Connection String With Creds","High","jdbc:mysql://localhost:3306/salesforce?user=admin_user&password=P@","String connectionString = 'jdbc:mysql://localhost:3306/salesforce?user=admin_user&password=P@ssw0rd123!';"
